cond,seed,axis,factor,progress
dr,4,speed,0.9750000000000001,1.0
dr,4,speed,1.0,1.0
dr,4,speed,1.025,1.0
dr,4,speed,1.05,1.0
dr,4,speed,1.075,1.0
dr,4,speed,1.1,1.0
dr,4,speed,1.125,1.0
dr,4,speed,1.15,0.6748040277777815
dr,4,speed,1.175,0.44404042658730253
dr,4,speed,1.2000000000000002,0.44524285714285644
dr,4,speed,1.225,0.44610173611110937
dr,4,speed,1.25,0.4483348214285702
dr,4,speed,1.275,0.45029306547618814
dr,4,speed,1.3,0.4073147619047637
